Link,Timestamp
https://jindal.utdallas.edu/news/information-systems-researcher-wins-early-career-award/,2025-04-17T15:47:34.484011
https://jindal.utdallas.edu/news/jindal-school-earns-top-learning-and-networking-scores-in-new-bloomberg-rankings/,2025-04-17T15:47:34.484023
https://jindal.utdallas.edu/news/jindal-graduate-student-receives-award-from-healthcare-executives-society/,2025-04-17T15:47:34.484032
https://jindal.utdallas.edu/news/jindal-school-alumnus-named-ut-dallas-head-mens-basketball-coach/,2025-04-17T15:47:34.484040
https://jindal.utdallas.edu/fin/program-resources/fintech-certificate/,2025-04-17T15:47:34.484047
https://jindal.utdallas.edu/about-the-jindal-school-of-management/,2025-04-17T15:47:34.484054
https://jindal.utdallas.edu/news/jsom-advisory-council-chairman-brings-insights-to-honor-society-induction/,2025-04-17T15:47:34.484060
https://jindal.utdallas.edu/bs-human-resource-management-faq,2025-04-17T15:47:34.484068
https://jindal.utdallas.edu/news/jsom-student-places-fourth-in-intl-business-simulation-competition/,2025-04-17T15:47:34.484075
https://jindal.utdallas.edu/alumni/involvement/,2025-04-17T15:47:34.484082
https://jindal.utdallas.edu/centers-of-excellence/healthcare/#top,2025-04-17T15:47:34.484089
https://jindal.utdallas.edu/undergraduate-programs/utdserv/#expectations-from-students,2025-04-17T15:47:34.484095
https://jindal.utdallas.edu/osim/ms-innovation-entrepreneurship/certificates/#new-venture-entrepreneurship,2025-04-17T15:47:34.484103
https://jindal.utdallas.edu/news/converse-and-sell-yourself-restaurant-and-real-estate-entrepreneur-advises/,2025-04-17T15:47:34.484115
https://jindal.utdallas.edu/news/wasting-time-villain-to-productivity/,2025-04-17T15:47:34.484411
https://jindal.utdallas.edu/news/global-leadership-mba-online/,2025-04-17T15:47:34.484421
https://jindal.utdallas.edu/jindal/student-resources/deans-council/undergraduate,2025-04-17T15:47:34.484428
https://jindal.utdallas.edu/student-resources/scholarships/,2025-04-17T15:47:34.484435
https://jindal.utdallas.edu/news/healthcare-panel-tackles-thorny-medicare-for-all/,2025-04-17T15:47:34.484441
https://jindal.utdallas.edu/jindal/admission-requirements/gmat-codes/,2025-04-17T15:47:34.484447
https://jindal.utdallas.edu/news/scholarships-boost-accounting-students-balance-sheets/,2025-04-17T15:47:34.484453
https://jindal.utdallas.edu/masters-programs/double-degree/,2025-04-17T15:47:34.484460
https://jindal.utdallas.edu/student-resources/tech-support/#operations,2025-04-17T15:47:34.484466
https://jindal.utdallas.edu/jindal/centers-of-excellence/fd-tech-center/education-outreach,2025-04-17T15:47:34.484473
https://jindal.utdallas.edu/osim/bs-global-business/#content,2025-04-17T15:47:34.484480
https://jindal.utdallas.edu/40599791396397&instance=48129115586201,2025-04-17T15:47:34.484487
https://jindal.utdallas.edu/49312971106806&instance=49313106163493,2025-04-17T15:47:34.484494
https://jindal.utdallas.edu/news/jindal-school-students-earn-15-top-10-finishes-at-fbla-nationals/,2025-04-17T15:47:34.484500
https://jindal.utdallas.edu/centers-of-excellence/cfsi/team/,2025-04-17T15:47:34.484508
https://jindal.utdallas.edu/centers-of-excellence/lboe/#using-the-laboratory,2025-04-17T15:47:34.484514
https://jindal.utdallas.edu/news/donor-scholarships-launch-brighter-futures-for-jindal-school-students/,2025-04-17T15:47:34.484521
https://jindal.utdallas.edu/events/biz-ai-conference/,2025-04-17T15:47:34.484549
https://jindal.utdallas.edu/career-management-center/employer-resources/,2025-04-17T15:47:34.484564
https://jindal.utdallas.edu/jindal/centers-of-excellence/cgb/sustainable-global-business-initiative/advisory-board,2025-04-17T15:47:34.484570
https://jindal.utdallas.edu/osim/bs-global-business/,2025-04-17T15:47:34.484578
https://jindal.utdallas.edu/marketing/bs-marketing/professional-program/,2025-04-17T15:47:34.484584
https://jindal.utdallas.edu/student-resources/scholarships/support-fund/,2025-04-17T15:47:34.484591
https://jindal.utdallas.edu/49305075856123&instance=49305075859197,2025-04-17T15:47:34.484598
https://jindal.utdallas.edu/49409692689452&instance=49409929814969,2025-04-17T15:47:34.484604
https://jindal.utdallas.edu/osim/bs-ba/risk-management-cyber-security/,2025-04-17T15:47:34.484611
https://jindal.utdallas.edu/osim/bs-healthcare-management/professional-program,2025-04-17T15:47:34.484617
https://jindal.utdallas.edu/jindal/files/2022/03/achal_bassamboo_paper.pdf,2025-04-17T15:47:34.484629
https://jindal.utdallas.edu/career-management-center/student-resources-cmc/write-resume/,2025-04-17T15:47:34.484636
https://jindal.utdallas.edu/jindal/files/2021/04/jsom_research_ventures_spring_2018.pdf,2025-04-17T15:47:34.484652
https://jindal.utdallas.edu/centers-of-excellence/cfsi/events/,2025-04-17T15:47:34.484659
https://jindal.utdallas.edu/news/retiring-jindal-school-professor-leaves-lasting-legacy/,2025-04-17T15:47:34.484686
https://jindal.utdallas.edu/request-information/#content,2025-04-17T15:47:34.484713
https://jindal.utdallas.edu/undergraduate-programs/#content,2025-04-17T15:47:34.484719
https://jindal.utdallas.edu/jindal/files/2021/04/SOM-Research-Sumit-Sarkar-edited-07-08MRF.pdf,2025-04-17T15:47:34.484726
https://jindal.utdallas.edu/accounting/ppa,2025-04-17T15:47:34.484734
https://jindal.utdallas.edu/49312908901027&instance=49312950449635,2025-04-17T15:47:34.484740
https://jindal.utdallas.edu/jindal/39581282702414&instance=49117424367888,2025-04-17T15:47:34.484746
https://jindal.utdallas.edu/jindal/faculty/andrew-frazelle,2025-04-17T15:47:34.484753
https://jindal.utdallas.edu/testimonials/phd-testimonials/xuying-zhao/,2025-04-17T15:47:34.484760
https://jindal.utdallas.edu/alumni/,2025-04-17T15:47:34.484767
https://jindal.utdallas.edu/jindal/files/2023/07/sam-event-talent-release-form-v1.pdf,2025-04-17T15:47:34.484773
https://jindal.utdallas.edu/news/fbla-nationals-triumph-for-jindal-school-students/,2025-04-17T15:47:34.484791
https://jindal.utdallas.edu/news/ut-system-chancellor-success-achieved-only-through-multidirectional-team-effort/,2025-04-17T15:47:34.484798
https://jindal.utdallas.edu/jindal/phd-programs/,2025-04-17T15:47:34.484806
https://jindal.utdallas.edu/news/jindal-school-symposium-stresses-business-cooperation-among-north-texas-stakeholders-to-promote-international-business-attraction/,2025-04-17T15:47:34.484821
https://jindal.utdallas.edu/news/online-ms-in-management-science-program-offers-balance-optimizes-options/,2025-04-17T15:47:34.484843
https://jindal.utdallas.edu/news/dfw-retail-innovation-panel-foresees-a-future-mix-of-tech-and-tradition/,2025-04-17T15:47:34.484850
https://jindal.utdallas.edu/student-resources/business-communication-center/workshops/,2025-04-17T15:47:34.484858
https://jindal.utdallas.edu/jindal/49313171246860&instance=49313212157732,2025-04-17T15:47:34.484866
https://jindal.utdallas.edu/news/womens-leadership-series-living-an-integrated-life/,2025-04-17T15:47:34.484872
https://jindal.utdallas.edu/jindal/phd-programs/management-science/marketing/,2025-04-17T15:47:34.484881
https://jindal.utdallas.edu/jindal/request-information/,2025-04-17T15:47:34.484888
https://jindal.utdallas.edu/news/professor-named-greenleaf-scholar-a-second-time/,2025-04-17T15:47:34.484894
https://jindal.utdallas.edu/news/fraud-summit-to-focus-on-scam-psychology-and-analytics-and-vigilance-needed/,2025-04-17T15:47:34.484901
https://jindal.utdallas.edu/news/professional-group-sets-up-inaugural-funding-for-ms-in-energy-management/,2025-04-17T15:47:34.484909
https://jindal.utdallas.edu/centers-of-excellence/retail-innovation-strategy-excellence/#content,2025-04-17T15:47:34.484918
https://jindal.utdallas.edu/49154612594084&instance=49154615224510,2025-04-17T15:47:34.484926
https://jindal.utdallas.edu/jindal/49163133888134&instance=49163140053823,2025-04-17T15:47:34.484933
https://jindal.utdallas.edu/jindal/staff-list/#undergraduate,2025-04-17T15:47:34.484939
https://jindal.utdallas.edu/undergraduate-programs/utdserv/completed-projects/,2025-04-17T15:47:34.484946
https://jindal.utdallas.edu/news/financial-accounting-standards-board-member-brings-accounting-to-lifefinancial-accounting-standards-board-member-brings-accounting-to-life/,2025-04-17T15:47:34.484958
https://jindal.utdallas.edu/faq/#top,2025-04-17T15:47:34.484969
https://jindal.utdallas.edu/undergraduate-programs/utdserv/#faq,2025-04-17T15:47:34.484974
https://jindal.utdallas.edu/undergraduate-programs/#top,2025-04-17T15:47:34.484982
https://jindal.utdallas.edu/about-the-jindal-school-of-management/phd-student-experience/,2025-04-17T15:47:34.484989
https://jindal.utdallas.edu/49295883217745&instance=49295883218770,2025-04-17T15:47:34.484996
https://jindal.utdallas.edu/jindal/49172111013739&instance=49172113291064,2025-04-17T15:47:34.485003
https://jindal.utdallas.edu/jindal/files/2021/04/SOM-Research-Ashiq-Ali-edited-07-08MRF.pdf,2025-04-17T15:47:34.485010
https://jindal.utdallas.edu/news/accounting-student-earns-10k-scholarship/,2025-04-17T15:47:34.485017
https://jindal.utdallas.edu/accounting/bs-accounting/#content,2025-04-17T15:47:34.485024
https://jindal.utdallas.edu/infosystems/ms-ba-options/,2025-04-17T15:47:34.485030
https://jindal.utdallas.edu/news/online-business-simulation-game-stirs-students-competitive-juices/,2025-04-17T15:47:34.485036
https://jindal.utdallas.edu/alumni/alumni-chapters/#top,2025-04-17T15:47:34.485043
https://jindal.utdallas.edu/48527502735766&instance=49410038060128,2025-04-17T15:47:34.485049
https://jindal.utdallas.edu/49216713327641&instance=49216724999947,2025-04-17T15:47:34.485055
https://jindal.utdallas.edu/news/information-systems-professors-win-informs-best-paper-award/,2025-04-17T15:47:34.485062
https://jindal.utdallas.edu/jindal/49154602667838&instance=49154606171882,2025-04-17T15:47:34.485191
https://jindal.utdallas.edu/student-resources/labs/,2025-04-17T15:47:34.485200
https://jindal.utdallas.edu/jindal/centers-of-excellence/iecg/,2025-04-17T15:47:34.485207
https://jindal.utdallas.edu/ms-itm-faq,2025-04-17T15:47:34.485213
https://jindal.utdallas.edu/jindal/centers-of-excellence/cfsi/contact/,2025-04-17T15:47:34.485219
https://jindal.utdallas.edu/advising/#top,2025-04-17T15:47:34.485226
https://jindal.utdallas.edu/47040472425615&instance=47040472460448,2025-04-17T15:47:34.485231
https://jindal.utdallas.edu/events/fintech-digital-assets-workshop-2023-comtech/,2025-04-17T15:47:34.485238
https://jindal.utdallas.edu/centers-of-excellence/cfsi/ongoing-programs/,2025-04-17T15:47:34.485247
https://jindal.utdallas.edu/jindal/masters-programs/,2025-04-17T15:47:34.485254
https://jindal.utdallas.edu/jindal/alumni-spotlights,2025-04-17T15:47:34.485261
https://jindal.utdallas.edu/jindal/centers-of-excellence/iaep/contact/,2025-04-17T15:47:34.485267
https://jindal.utdallas.edu/49286912739824&instance=49286918322419,2025-04-17T15:47:34.485274
https://jindal.utdallas.edu/centers-of-excellence/cgb/#top,2025-04-17T15:47:34.485280
https://jindal.utdallas.edu#content,2025-04-17T15:47:34.485287
https://jindal.utdallas.edu/jindal/external-relations/advisory-council/,2025-04-17T15:47:34.485293
https://jindal.utdallas.edu/news/undergraduate-deans-conference-at-jindal-school-provides-forum-for-solving-thorny-issues-in-higher-ed/,2025-04-17T15:47:34.485300
https://jindal.utdallas.edu/jindal/undergraduate-programs/prospective-undergraduates/,2025-04-17T15:47:34.485309
https://jindal.utdallas.edu/centers-of-excellence/cgb/sustainable-global-business-initiative/events-and-news/,2025-04-17T15:47:34.485316
https://jindal.utdallas.edu/jindal/centers-of-excellence/iaep/degree-option-courses/,2025-04-17T15:47:34.485326
https://jindal.utdallas.edu/news/jindal-school-center-launches-new-research-partnership-in-france/,2025-04-17T15:47:34.485333
https://jindal.utdallas.edu/jindal/files/2021/02/program_overview_2023_v2.pdf,2025-04-17T15:47:34.485341
https://jindal.utdallas.edu/news/jindal-school-no-4-in-graduate-supply-chain-program-ranking/,2025-04-17T15:47:34.485348
https://jindal.utdallas.edu/49163166758985&instance=49163169440876,2025-04-17T15:47:34.485355
https://jindal.utdallas.edu/news/2020-utd-top-100-business-school-research-rankings/,2025-04-17T15:47:34.485361
https://jindal.utdallas.edu/news/jindal-school-students-research-optimizes-post-disaster-recovery/,2025-04-17T15:47:34.485368
https://jindal.utdallas.edu/jindal/events/annual-bass-forms-conference/17th-annual-bass-forms-conference/,2025-04-17T15:47:34.485375
https://jindal.utdallas.edu/news/students-learn-social-media-philanthropy-in-business-ethics-class/,2025-04-17T15:47:34.485382
https://jindal.utdallas.edu/faculty-research/,2025-04-17T15:47:34.485392
https://jindal.utdallas.edu/news/panel-discussion-at-jindal-school-offers-insights-into-sustainability-careers/,2025-04-17T15:47:34.485398
https://jindal.utdallas.edu/news/princeton-review-ranks-innovation-and-entrepreneurship-program-at-no-22/,2025-04-17T15:47:34.485405
https://jindal.utdallas.edu/jindal/calendar/,2025-04-17T15:47:34.485413
https://jindal.utdallas.edu/49172111013739&instance=49172113291064,2025-04-17T15:47:34.485419
https://jindal.utdallas.edu/news/,2025-04-17T15:47:34.485425
https://jindal.utdallas.edu/admission-requirements/admission-resources/#top,2025-04-17T15:47:34.485430
https://jindal.utdallas.edu/fin/bs-finance/ppf/,2025-04-17T15:47:34.485448
https://jindal.utdallas.edu/alumni/jsomreunion/#content,2025-04-17T15:47:34.485459
https://jindal.utdallas.edu/47040472425615&instance=47040472463522,2025-04-17T15:47:34.485465
https://jindal.utdallas.edu/news/jindal-school-alumni-reunion-more-than-700-alumni-gather-for-fun-and-connections/,2025-04-17T15:47:34.485480
https://jindal.utdallas.edu/ms,2025-04-17T15:47:34.485496
https://jindal.utdallas.edu/testimonials/phd-testimonials/zhengrui-jiang/,2025-04-17T15:47:34.485551
https://jindal.utdallas.edu/osim//bs-ba/curriculum/,2025-04-17T15:47:34.485558
https://jindal.utdallas.edu/49216795487242&instance=49216817730431,2025-04-17T15:47:34.485564
https://jindal.utdallas.edu/events/scm-directors-conference/#2017,2025-04-17T15:47:34.485569
https://jindal.utdallas.edu/news/conference-offers-insights-into-corporate-governance-relationships/,2025-04-17T15:47:34.485575
https://jindal.utdallas.edu/admission-requirements/undergraduate/#top,2025-04-17T15:47:34.485583
https://jindal.utdallas.edu/news/new-initiative-to-fund-jindal-young-scholars-program-scholarships/,2025-04-17T15:47:34.485590
https://jindal.utdallas.edu/jindal/question-desk/,2025-04-17T15:47:34.485598
https://jindal.utdallas.edu/admission-requirements/admission-resources/#content,2025-04-17T15:47:34.485604
https://jindal.utdallas.edu/jindal/undergraduate-programs/fast-track/,2025-04-17T15:47:34.485611
https://jindal.utdallas.edu/jindal/49357857957835&instance=49357857958860,2025-04-17T15:47:34.485618
https://jindal.utdallas.edu/news/phd-video-competition-helps-budding-researchers-better-reach-general-audiences/,2025-04-17T15:47:34.485624
https://jindal.utdallas.edu/news/new-undergraduate-program-answers-need-for-skilled-human-resource-talent/,2025-04-17T15:47:34.485631
https://jindal.utdallas.edu/about-the-jindal-school-of-management/student-experience/#top,2025-04-17T15:47:34.485639
https://jindal.utdallas.edu/career-management-center/#top,2025-04-17T15:47:34.485648
https://jindal.utdallas.edu/centers-of-excellence/cgb/faculty-alumni/,2025-04-17T15:47:34.485654
https://jindal.utdallas.edu/jindal/certificate-programs/,2025-04-17T15:47:34.485662
https://jindal.utdallas.edu/accounting/masters-degree-options/graduate-certificate-research-foundations/,2025-04-17T15:47:34.485678
https://jindal.utdallas.edu/about-the-jindal-school-of-management/business-competitions/#content,2025-04-17T15:47:34.485687
https://jindal.utdallas.edu/40599791396397&instance=48129115591323,2025-04-17T15:47:34.485695
https://jindal.utdallas.edu/news/government-industry-and-academic-sectors-collide-at-jindal-school-sustainability-event/,2025-04-17T15:47:34.485702
https://jindal.utdallas.edu/news/cannabis-entrepreneur-business-ideas-ut-dallas/,2025-04-17T15:47:34.485711
https://jindal.utdallas.edu/jindal/phd-programs/programs-concentrations/,2025-04-17T15:47:34.485717
https://jindal.utdallas.edu/news/sales-students-score-top-wins-at-annual-competition/,2025-04-17T15:47:34.485725
https://jindal.utdallas.edu/jindal/faculty/simon-siegenthaler,2025-04-17T15:47:34.485733
https://jindal.utdallas.edu/jindal/48527502735766&instance=49410038064225,2025-04-17T15:47:34.485739
https://jindal.utdallas.edu/accounting/masters-degree-options/,2025-04-17T15:47:34.485746
https://jindal.utdallas.edu/jindal/files/2021/02/Industry-Viewpoint.pdf,2025-04-17T15:47:34.485753
